numepochs,batchsize,learningrate,momentum,weightdecay,cputime,realtime,acc
20,128,0.001,0.9,1.0E-4,5.0798465E10,2.6417016E11,0.6976
20,128,0.001,0.9,0.001,5.0441191E10,2.63631798E11,0.6876
20,128,0.001,1.0,1.0E-5,5.0361909E10,2.63763902E11,0.6964
20,128,0.001,1.0,1.0E-4,5.0632458E10,2.64008581E11,0.6872
20,128,0.001,1.0,0.001,5.1045237E10,2.64916517E11,0.7012
20,256,1.0E-5,0.0,1.0E-5,3.42856622E10,2.29737169E11,0.702
20,256,1.0E-5,0.0,1.0E-4,3.3825282E10,2.29210063E11,0.7212
20,256,1.0E-5,0.0,0.001,3.36627651E10,2.28933976E11,0.706
20,256,1.0E-5,0.5,1.0E-5,3.36665231E10,2.29109907E11,0.674
20,256,1.0E-5,0.5,1.0E-4,3.39110154E10,2.29215764E11,0.6228
20,256,1.0E-5,0.5,0.001,3.36354611E10,2.28995957E11,0.6932
20,256,1.0E-5,0.9,1.0E-5,3.3721387E10,2.30025576E11,0.7544
20,256,1.0E-5,0.9,1.0E-4,3.3452628E10,2.28861919E11,0.6888
20,256,1.0E-5,0.9,0.001,3.38134385E10,2.29458199E11,0.7116
20,256,1.0E-5,1.0,1.0E-5,3.35696036E10,2.29331878E11,0.6764
20,256,1.0E-5,1.0,1.0E-4,3.37233408E10,2.29216338E11,0.72
20,256,1.0E-5,1.0,0.001,3.38795848E10,2.28945756E11,0.7076
20,256,1.0E-4,0.0,1.0E-5,3.40152914E10,2.29565661E11,0.7112
20,256,1.0E-4,0.0,1.0E-4,3.35447491E10,2.28640752E11,0.726
20,256,1.0E-4,0.0,0.001,3.42128538E10,2.29727617E11,0.69
20,256,1.0E-4,0.5,1.0E-5,3.39285647E10,2.2911302E11,0.7304
20,256,1.0E-4,0.5,1.0E-4,3.41261947E10,2.29744935E11,0.7036
20,256,1.0E-4,0.5,0.001,3.38267464E10,2.2935457E11,0.7516
20,256,1.0E-4,0.9,1.0E-5,3.35601603E10,2.29036245E11,0.7196
20,256,1.0E-4,0.9,1.0E-4,3.37253663E10,2.28857004E11,0.696
20,256,1.0E-4,0.9,0.001,3.41350932E10,2.29793268E11,0.7048
20,256,1.0E-4,1.0,1.0E-5,3.41158973E10,2.2975701E11,0.724
20,256,1.0E-4,1.0,1.0E-4,3.34879724E10,2.28931633E11,0.7344
20,256,1.0E-4,1.0,0.001,3.35488123E10,2.29232476E11,0.7196
20,256,0.001,0.0,1.0E-5,3.36321946E10,2.29219009E11,0.7156
20,256,0.001,0.0,1.0E-4,3.41457142E10,2.29494473E11,0.7104
20,256,0.001,0.0,0.001,3.34934139E10,2.28828381E11,0.7188
20,256,0.001,0.5,1.0E-5,3.36086958E10,2.29149E11,0.712
20,256,0.001,0.5,1.0E-4,3.40255437E10,2.29626462E11,0.696
20,256,0.001,0.5,0.001,3.36292987E10,2.29106418E11,0.7072
20,256,0.001,0.9,1.0E-5,3.40628828E10,2.29500617E11,0.7156
20,256,0.001,0.9,1.0E-4,3.36123146E10,2.29231919E11,0.716
20,256,0.001,0.9,0.001,3.3599361E10,2.28911333E11,0.7112
20,256,0.001,1.0,1.0E-5,3.37669837E10,2.29069341E11,0.6888
20,256,0.001,1.0,1.0E-4,3.441741E10,2.30164447E11,0.6952
20,256,0.001,1.0,0.001,3.4546082E10,2.30407668E11,0.7144
20,512,1.0E-5,0.0,1.0E-5,2.53639127E10,2.09343218E11,0.7392
20,512,1.0E-5,0.0,1.0E-4,2.46226678E10,2.08575431E11,0.6724
20,512,1.0E-5,0.0,0.001,2.47122084E10,2.08703848E11,0.6948
20,512,1.0E-5,0.5,1.0E-5,2.40173425E10,2.08070984E11,0.7552
20,512,1.0E-5,0.5,1.0E-4,2.41156936E10,2.08308486E11,0.7012
20,512,1.0E-5,0.5,0.001,2.46840259E10,2.08669606E11,0.7012
20,512,1.0E-5,0.9,1.0E-5,2.48295424E10,2.08967565E11,0.6904
20,512,1.0E-5,0.9,1.0E-4,2.41668915E10,2.08389587E11,0.674
20,512,1.0E-5,0.9,0.001,2.43763917E10,2.08210412E11,0.6996
20,512,1.0E-5,1.0,1.0E-5,2.41291162E10,2.08445178E11,0.6824
20,512,1.0E-5,1.0,1.0E-4,2.39392932E10,2.07791423E11,0.7016
20,512,1.0E-5,1.0,0.001,2.42433946E10,2.08338092E11,0.7116
20,512,1.0E-4,0.0,1.0E-5,2.3957289E10,2.07654224E11,0.7304
20,512,1.0E-4,0.0,1.0E-4,2.42839859E10,2.08387326E11,0.736
20,512,1.0E-4,0.0,0.001,2.4103938E10,2.08312254E11,0.7272
20,512,1.0E-4,0.5,1.0E-5,2.39119094E10,2.07622423E11,0.7232
20,512,1.0E-4,0.5,1.0E-4,2.44718531E10,2.08231498E11,0.7212
20,512,1.0E-4,0.5,0.001,2.37341532E10,2.07754248E11,0.7256
20,512,1.0E-4,0.9,1.0E-5,2.48191508E10,2.08947921E11,0.7012
20,512,1.0E-4,0.9,1.0E-4,2.40659845E10,2.08281764E11,0.7072
20,512,1.0E-4,0.9,0.001,2.40928604E10,2.08488251E11,0.7488
20,512,1.0E-4,1.0,1.0E-5,2.39118561E10,2.07821128E11,0.732
20,512,1.0E-4,1.0,1.0E-4,2.48323338E10,2.08745218E11,0.6988
20,512,1.0E-4,1.0,0.001,2.46873068E10,2.08816161E11,0.71
20,512,0.001,0.0,1.0E-5,2.42713375E10,2.08625238E11,0.7164
20,512,0.001,0.0,1.0E-4,2.48385372E10,2.08839393E11,0.6972
20,512,0.001,0.0,0.001,2.45765939E10,2.0821821E11,0.7184
20,512,0.001,0.5,1.0E-5,2.48653066E10,2.08841392E11,0.7192
20,512,0.001,0.5,1.0E-4,2.47533855E10,2.08745644E11,0.694
20,512,0.001,0.5,0.001,2.46115369E10,2.08635937E11,0.678
20,512,0.001,0.9,1.0E-5,2.41957478E10,2.08108667E11,0.7192
20,512,0.001,0.9,1.0E-4,2.31491461E10,2.06410269E11,0.7128
20,512,0.001,0.9,0.001,2.48091136E10,2.09129292E11,0.6864
20,512,0.001,1.0,1.0E-5,2.47609344E10,2.08613196E11,0.7012
20,512,0.001,1.0,1.0E-4,2.48976036E10,2.09139057E11,0.6924
20,512,0.001,1.0,0.001,2.40824484E10,2.08055599E11,0.6932
50,50,1.0E-5,0.0,1.0E-5,2.58102264E11,1.00965345E12,0.856
50,50,1.0E-5,0.0,1.0E-4,2.61754749E11,1.01621439E12,0.838
50,50,1.0E-5,0.0,0.001,2.58641691E11,1.01211544E12,0.8368
50,50,1.0E-5,0.5,1.0E-5,2.62404964E11,1.01370973E12,0.8356
50,50,1.0E-5,0.5,1.0E-4,2.62797492E11,1.00840099E12,0.8528
50,50,1.0E-5,0.5,0.001,2.62953009E11,1.00915203E12,0.8488
